date,coding_level2,product,reason,synnopsis,notes,store_number,store_number,city,state,brand_code,brand,ownership_type,duplicate
1/20/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer states their last two sweat green and lemon beverages tasted bitter.,Customer is having problems with making payment online.  Tried to take payment but failed to authorize.  Customer tried to use a different credit card and the payment went through order number 00754540.,,,,,,EVFR,,No
1/25/14,Pre-packaged drinks,Unknown,Expired,Customer stated she purchased two Evolution Fresh Juices from this location in one week and both juices were expired. Customer stated she became ill after consuming the second beverage.,Customer Abandoned,5445,,Thousand Oaks,CA,SBUX,EVFR,CO,No
1/26/14,Pre-packaged drinks,Defense Up,Damaged Package,Customer bought an Evolution Refresher Mango\Pineapple (Immune - orange color) and when she went to open it she found out the seal had been broken.,Customer bought an Evolution Refresher Mango\Pineapple (Immune - orange color) and when she went to open it she found out the seal had been broken.,11907,,Rockledge,FL,SBUX,Starbucks,CO,No
1/29/14,Pre-packaged drinks,Unknown,Expired,"Customer emailed to state they purchased an Evolution Fresh drink on Jan 29th, and the best by date was Jan 25.","Customer emailed to state they purchased an Evolution Fresh drink on Jan 29th, and the best by date was Jan 25.",7767,,Edison,NJ,SBUX,EVFR,CO,No
1/31/14,Pre-packaged drinks,Unknown,Expired,"Customer states they purchased Evolution Fresh juice and Egg and Cheese wrap, but received the wrap in pieces, also the juice had expiration of 01/26. Customer states they felt ill after drinking, also states they have had many issues with this location i","Customer states they purchased Evolution Fresh juice and Egg and Cheese wrap, but received the wrap in pieces, also the juice had expiration of 01/26. Customer states they felt ill after drinking, also states they have had many issues with this location in the past.",15732,,Tampa,FL,SBUX,Starbucks,CO,No
2/2/14,Pre-packaged drinks,Unknown,Expired,"Customer said that they had some juices for %50 off so she bought one, the expiration date was 2/1/2014. Three hours after consuming it she got severly ill.","Customer said that they had some juices for %50 off so she bought one, the expiration date was 2/1/2014. Three hours after consuming it she got severly ill.",18576,,Seattle,WA,EVO,EVFR,CO,No
2/3/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,customer said the bottled organic carrot and apple juice was bitter.,customer said the bottled organic carrot and apple juice was bitter.,,,,,,EVFR,,No
2/3/14,Pre-packaged drinks,Unknown,Expired,Customer states several bottles in the store were past the sell date.,Customer states several bottles in the store were past the sell date.,,,,,,EVFR,,No
2/5/14,Pre-packaged drinks,Ruby Roots,Illness/Injury/Allergic Reaction,"Customer said they had the Organic Ruby Roots, and they have vomiting and diarrhea for 4 hours.",Closing case as issue was resolved by the agent.,,,,,,EVFR,,No
2/11/14,Pre-packaged drinks,Orange,Expired,Customer stated that the Orange they purchased was expired before the best taste by date.,Customer stated that the Orange they purchased was expired before the best taste by date.,,,,,,EVFR,,No
2/12/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer stated that their Organic Carrot Apple juice tasted very bit.,Customer stated that their Organic Carrot Apple juice tasted very bit.,,,,,,EVFR,,No
2/12/14,Pre-packaged drinks,Unknown,Illness/Injury/Allergic Reaction,Custoemrstates they drank an evolution fresh juice and became ill. Customer states she has been nausious and vomiting.,Custoemrstates they drank an evolution fresh juice and became ill. Customer states she has been nausious and vomiting.,,,,,,EVFR,,No
2/13/14,Pre-packaged drinks,Defense Up,Illness/Injury/Allergic Reaction,Customer said they felt ill after drinking an Evolution Fresh drink they bought from a DEFENSE UP SMOOTHIE they purchases from a Starbucks store.,Customer said that she was filling sick to her stomach and have been going to that bath room a lot. They said that they have not went to hospital but they might because they still feel ill.,229,,Chicago,IL,SBUX,EVFR,CO,No
2/15/14,Pre-packaged drinks,Defense Up,Bloated/Fermented/Spoiled,Store Manager Erin called in about the Evolution Fresh Delivery of Carrot Juice and Mango Juice being expanded inside of the bottle to where the bottle is no longer square but round.,"Flow Name: Store Experience Calling About: Food, Beverage or Packaged Product Caller: Partner Position: Store Manager Partner Name: Erin Partner Number: 1272721 Describe what was wrong with the product: Evolution Fresh Did the product contain a foreign object?: No Does the experience involve alleged product tampering?: No Did the experience result in an illness, injury, or allergic reaction?: No Is the customer expecting follow up?: Yes Date of Event: 2/15/2014 Store Number: 9658 Is this a reoccurring issue?: No Has the customer requested DM follow up?: No Synopsis: Store Manager Erin called in about the Evolution Fresh Delivery of Carrot Juice and Mango Juice being expanded inside of the bottle to where the bottle is no longer square but round. Notes: Carrot Juice Item 101112 Lot: evl 155848 6 bottles also Defense up Mango Lot 155737",9658,,North Charlotte,NC,SBUX,EVFR,CO,No
2/18/14,Pre-packaged drinks,Unknown,Bloated/Fermented/Spoiled,Customer purchased 5 juices from evolution fresh that were swollen and recalled.,Customer purchased 5 juices from evolution fresh that were swollen and recalled.,,,,,,EVFR,,No
2/18/14,Pre-packaged drinks,Unknown,Damaged Package,Customer purchased a juice with puncture in the bottle.,"Customer purchased a juice that had a puncture mark on it like someone had stabed it -I advised that the customer not consume the drink -Asked if the customer was feeling ill at all, she was not. -Let the customer know we would be happy to replace the drink for her  -Also advised if she did start to feel bad we wanted to hear back from her",,,,,,EVFR,,No
2/18/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer said the Fresh Greens with Lemon and it tasted 'Funky'. Customer had it since Nov. 2013 but just called in about it now.,Added $10.00 to card 6072172751339074 as service recovery,,,,,,EVFR,,No
2/19/14,Pre-packaged drinks,Sweet Burn,Bad Odor,Customer stated that she purchased a Sweet Burn juice from Whole Foods and when she drank some it had a sour taste and bad smell to it.,Customer stated that she purchased a Sweet Burn juice from Whole Foods and when she drank some it had a sour taste and bad smell to it.,,,,,,EVFR,,No
2/19/14,Pre-packaged drinks,Unknown,Bloated/Fermented/Spoiled,Partner called in because the Evo Fresh bottles she received in her shipment as samples for customer were really bloated and expanded.,"Flow Name: Store Experience Calling About: Food, Beverage or Packaged Product Caller: Partner Position: Store Manager Partner Name: Alison Stewart  Partner Number: 1720152 Packaged Coffee Or Tea: Yes Description: Evo Fresh Quart Size Samples  Best Taste By Date: 3/9/2014 Lot Code: 157171 Describe what was wrong with the product: The bottom of the bottle is bloated, they do not sit properly and clearly something is wrong with the product.   Did the product contain a foreign object?: No Does the experience involve alleged product tampering?: No Did the experience result in an illness, injury, or allergic reaction?: No Is the customer expecting follow up?: No Date of Event: 2/19/2014 Time Of Event: 6:00 am Store Number: 6527 Is this a reoccurring issue?: No Has the customer requested DM follow up?: No Reason no customer is selected: A partner is calling to report the bottle per their DM, not a customer.  Synopsis: Partner called in because the Evo Fresh bottles she received in her shipment as samples for customer were really bloated and expanded.  Notes: Store manager states, she came in this morning and received a shipment from last night. There was two Evo fresh bottled drinks that was suppose used as samples, but the bottles were really bloated and expanded as if something was wrong with the bottle. Store manager did contact her DM and the DM informed her to give us a call to let us be aware of the issue. Informed the Store manager I will document the information and provided her with the case number.",6527,,Reno,NV,SBUX,EVFR,CO,No
2/19/14,Pre-packaged drinks,Orange,Illness/Injury/Allergic Reaction,Customer stated that he got sick from drinking the Orange and that he had diarrhea and flu like symptoms after drinking it.,Customer stated that he got sick from drinking the Orange and that he had diarrhea and flu like symptoms after drinking it.,,,,,,Starbucks,,No
2/20/14,Pre-packaged drinks,PCW,Bloated/Fermented/Spoiled,"Partner stated that the 2 store samples of Evolution Fresh Pineapple Coconut bottles had a bad smell, bulged and fizzed when opened and tastsed rancid.","Flow Name: Store Experience Calling About: Food, Beverage or Packaged Product Caller: Partner Position: Store Manager Partner Name: Lethu Partner Number: 1158948 Other Packaged Products: Yes Describe: 2 Evolution Fresh Pineapple Coconut store sample bottles  Best Taste By Date: 3/9/2014 Lot Code: 157171O335 Describe what was wrong with the product: Partner stated that both bottles had a Bad smell and fizzed and partner tasted it and it tastes rancid.  Did the product contain a foreign object?: No Does the experience involve alleged product tampering?: No Did the experience result in an illness, injury, or allergic reaction?: No Is the customer expecting follow up?: No Date of Event: 2/20/2014 Time Of Event: 9:30 am Store Number: 9367 Is this a reoccurring issue?: No Has the customer requested DM follow up?: No Reason no customer is selected: Partner called in the product issue Synopsis: Partner stated that the 2 store samples of Evolution Fresh Pineapple Coconut bottles had a bad smell, bulged and fizzed when opened and tastsed rancid. Notes: Partner stated that she is not feeling sick from consuming a little bit of the juice. She also stated that another store in the area called in that their sample was also bulging, fizzed and smelled bad. She stated that she is going to check the other juices that are for sale so the customers do not pick up the bad bottle.",9367,,Reno,NV,SBUX,EVFR,CO,No
2/20/14,Pre-packaged drinks,PCW,Bloated/Fermented/Spoiled,"Store Partner was calling in to let us know that he wont be using his Pineapple Coconut Evolution Fresh Beverage as a sample profuct because the bottle it came in was ""bulging"".","Flow Name: Store Experience Calling About: Food, Beverage or Packaged Product Caller: Partner Position: Store Manager Partner Name: Jeremy Brian Partner Number: 1945009 Packaged Coffee Or Tea: Yes Description: Cocnut Pineapply Evolution Fresh Sample Best Taste By Date: 3/9/2014 Lot Code: 157171cocpnwtr Describe what was wrong with the product: The bottle was bulging. Couldn't get it to sit up correctly without falling. Did the product contain a foreign object?: No Does the experience involve alleged product tampering?: No Did the experience result in an illness, injury, or allergic reaction?: No Is the customer expecting follow up?: No Date of Event: 2/20/2014 Time Of Event: 1:30 pm Store Number: 13629 Is this a reoccurring issue?: No Has the customer requested DM follow up?: No Synopsis: Store Partner was calling in to let us know that he wont be using his Pineapple Coconut Evolution Fresh Beverage as a sample profuct because the bottle it came in was ""bulging"".",13629,,Reno,NV,SBUX,EVFR,CO,No
2/25/14,Pre-packaged drinks,SGL,Illness/Injury/Allergic Reaction,Customer purchased a 15.02 oz Sweet greens and lemons with expiration 3/8/2014 product code 156808 21.57 and became ill shortly after comsumming the entire bottle.,Customer purchased a 15.02 oz Sweet greens and lemons with expiration 3/8/2014 product code 156808 21.57 and became ill shortly after comsumming the entire bottle.,,,,,,EVFR,,No
2/26/14,Pre-packaged drinks,Sweet Burn,Bad Taste/Flavor,Customer states they purchased the Sweet Burn juice and the color was not pink it was brown and the taste was bitter.,Customer states they purchased the Sweet Burn juice and the color was not pink it was brown and the taste was bitter.,,,,,,EVFR,,No
2/26/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer said she bought the Organic Carrot Apple Juice and it tasted like it turned. Customer said it didn't taste sour.,Customer said she bought the Organic Carrot Apple Juice and it tasted like it turned. Customer said it didn't taste sour.,7493,,New York,NY,SBUX,Starbucks,CO,No
2/27/14,Pre-packaged drinks,SGL,Bloated/Fermented/Spoiled,Customer said he bought 12 evolution fresh sweet greens and lemon and all 12 smelled like sour dairy.,Customer said he bought 12 evolution fresh sweet greens and lemon and all 12 smelled like sour dairy.,,,,,,EVFR,,No
3/3/14,Pre-packaged drinks,Ruby Roots,Bad Taste/Flavor,"Customer said she purchased a Ruby Roots from whole foods and the drink had a more ""sour"" taste than normal.","Customer said she got some ruby roots from whole foods and it expires on the 14th but it has a slightly different flavor than she is used to, she wants to get sick from that.  I have documented where she bought it the best taste by date, the time, the lot code she said the flavour is slightly more sour than she is used to I have apologized documented and we have then ended the call.  Flavor is: Slightly more sour.  Lot Code: 157316 22:58  Time: 5:00 - 6:300 Store: Whole Foods Market  Johnson Gonsman 30041",,,,,,EVFR,,No
3/3/14,Pre-packaged drinks,Super Greens Smoothie,Bad Taste/Flavor,Customer stated that their Super Greens juice had an alkaline taste. (Best before March 20th; Lot 157860 10:17),Customer stated that their Super Greens juice had an alkaline taste. (Best before March 20th; Lot 157860 10:17),9706,,Champaign,IL,SBUX,EVFR,CO,No
3/3/14,Pre-packaged drinks,Orange,Appearance,Customer stated that the 64oz. bottle of Orange that his mom bought him was clumpy and had the texture of glue.,Customer stated that the 64oz. bottle of Orange that his mom bought him was clumpy and had the texture of glue.,,,,,,EVFR,,No
3/11/14,Pre-packaged drinks,Unknown,Expired,Customer stated she purchased two Evolution Fresh Refresher and they both were expired. A Partner suggested that she give us a call to replace her two refreshers.,Customer stated she purchased two Evolution Fresh Refresher and they both were expired. A Partner suggested that she give us a call to replace her two refreshers.,2827,,Chicago,IL,SBUX,EVFR,CO,No
3/12/14,Pre-packaged drinks,Super Greens Smoothie,Bad Taste/Flavor,"Customer states they purchased a dozen of the ""green smoothies"" and they were all very bitter.  Customer was not able to provide additional information.","Customer states they purchased a dozen of the ""green smoothies"" and they were all very bitter.  Customer was not able to provide additional information.",,,,,,EVFR,,No
3/13/14,Pre-packaged drinks,Unknown,Expired,Customer states they purchased a Evolution Smoothie and later became ill. The Smoothie had an BTBD of March 1st. They state they would like to remind the store to check the expiration dates on their products.,Customer states they purchased a Evolution Smoothie and later became ill. The Smoothie had an BTBD of March 1st. They state they would like to remind the store to check the expiration dates on their products.,2545,,Chicago,IL,SBUX,EVFR,CO,No
3/14/14,Pre-packaged drinks,SGL,Appearance,She states her evolution fresh sweet greens was chunky.,"Flow Name: Store Experience Calling About: Food, Beverage or Packaged Product Caller: Customer Product Quality Issue: Yes Packaged coffee or tea, or Via: Yes Describe: sweet greens Best Taste By Date: 3/16/2014 What was wrong with the product?: General quality issue Describe: it is all chunky Did the product contain a foreign object?: No Does the experience involve alleged product tampering?: No Did the experience result in an illness, injury, or allergic reaction?: No Date of Event: 3/14/2014 Is this a reoccurring issue?: Yes Describe: it has happend twice Has the customer requested DM follow up?: No Expectations set with customer: see notes Is the issue resolved?: Yes Describe Resolution: see notes Synopsis: She states her evolution fresh sweet greens was chunky. Notes: She states her evolution fresh sweet greens was chunky. I apologized and told her I would pass it on to the store. I sent her two coupons as I was unable to access her card in cims.",10046,,Lake Grove,NY,SBUX,EVFR,CO,No
3/14/14,Pre-packaged drinks,SGL,Illness/Injury/Allergic Reaction,Customer became sick after drinking Sweet Greens and lemon Evolution Fresh.,Customer became sick after drinking Sweet Greens and lemon Evolution Fresh.,,,,,,EVFR,,No
3/16/14,Pre-packaged drinks,Orange,Damaged Package,"Customer said her grandson bought her 5 Oranges from a Safeway Grocery Store, and she says the seals are broken on each of them","Customer said her grandson bought her 5 Oranges from a Safeway Grocery Store, and she says the seals are broken on each of them",,,,,,EVFR,,No
3/17/14,Pre-packaged drinks,Unknown,Expired,Customer had expired evolution fresh juices.,Customer had expired evolution fresh juices.,,,,,,EVFR,,No
3/17/14,Pre-packaged drinks,OCA,Bloated/Fermented/Spoiled,Customer said she bought the Organic Carrot Apple Juice and it tasted like it turned. Customer said it didn't taste sour.,"Customer said she is Mia in new york, she called two weeks ago and spoke to Demetria, about some juice she got from starbucks, she talked to demetra about the where and when, she was supposed to get some coupons, she never received them.  berman 10014  Previous agent Demetra sent 2 coupons for the incident, the customer did not receive the coupons and it has been 3 weeks the coupons were sent 2/26 it has been more than 7 - 12 business days so I am re sending the coupon and she will let us know if she does not receive them.",7493,,New York,NY,SBUX,Starbucks,CO,No
3/18/14,Pre-packaged drinks,Grapefruit,Appearance,"Customer was starting to describe ""clumps"" she'd noticed in Grapefruit bought twice at Whole Foods, but had to take another call.","Customer was starting to describe ""clumps"" she'd noticed in Grapefruit bought twice at Whole Foods, but had to take another call.",,,,,,EVFR,,No
3/18/14,Pre-packaged drinks,Essential Vegetable,Bad Taste/Flavor,Customer stated that she gets the vegetable evolution fresh products all the time and today she purchases 2 15.2 oz and they were sour even tough expiration was 4/6/2014,Customer stated that she gets the vegetable evolution fresh products all the time and today she purchases 2 15.2 oz and they were sour even tough expiration was 4/6/2014,,,,,,EVFR,,No
3/19/14,Pre-packaged drinks,SGL,Foreign Object/Substance,Customer said they found a little piece of plastic in their 15.2 oz sweet greens and lemon bottled drink.,"All necessary FYIs have been sent out, service recovery offered. No follow up required, closed case.",,,,,,EVFR,,No
3/20/14,Pre-packaged drinks,SGL,Appearance,Customer states they purchase the sweet greens juice.  Customer states there are chunks in the juice.  Best by date 3/18/2014.  Purchased at a local store.  lot 15738113:40,Added $20.00 to card 6089751085728507 as service recovery,,,,,,EVFR,,No
3/21/14,Pre-packaged drinks,Unknown,Expired,"Customer said they got an EF drink, they went to consume today and noticed the expiration date is 3/19/2014.","Customer said they got an EF drink, they went to consume today and noticed the expiration date is 3/19/2014.",,,,,,EVFR,,No
3/24/14,Pre-packaged drinks,Unknown,Expired,Customer said they bought 10 Evolution Fresh drinks from their local Starbucks and they were all past the best buy date.,Customer said they bought 10 Evolution Fresh drinks from their local Starbucks and they were all past the best buy date.,439,,Clackamas,OR,SBUX,EVFR,CO,No
3/25/14,Pre-packaged drinks,PCW,Bad Taste/Flavor,Customer stated she had 2 coconut waters from evolution fresh taht tasted bitter.,Customer stated she had 2 coconut waters from evolution fresh taht tasted bitter.,3386,,Clackamas,OR,SBUX,EVFR,CO,No
3/25/14,Pre-packaged drinks,PCW,Expired,"Customer was said they bought 3 Coconut Waters and 1 Defense Up, and they were all bitter, and the enjoy by date was 3/21/2014 and they bought them on 3/24/2014.","Customer was said they bought 3 Coconut Waters and 1 Defense Up, and they were all bitter, and the enjoy by date was 3/21/2014 and they bought them on 3/24/2014.",17765,,Happy Valley,OR,SBUX,EVFR,CO,No
3/28/14,Pre-packaged drinks,Essential Greens,Illness/Injury/Allergic Reaction,Customer said they drank Essential Greens with Lime last night and were sick all night from it.,"Customer said they bought this drink on 3/28/2014 and consumed it at 6:00pm that same day. I asked how the customer was doing today, and customer said they are better today, they do not feel sick anymore, but the night of 3/28/14 was a long night and they did not feel good at all, a lot of stomach issues.",,,,,,EVFR,,No
3/28/14,Pre-packaged drinks,Unknown,Illness/Injury/Allergic Reaction,Customer states she received a Green Evolution Fresh Beverage and she felt ill after drinking it. Customer states she was unable to get a refund for this because it had been opened.,"Called customer and left a voicemail with CR's phone number and case number.  <font color=red>IF CUSTOMER CALLS, PLEASE:</font> - Apologize for her experience - Find out how she is doing - Assure her that we take these concerns seriously and have followed up with appropriate departments - Let her know we are not able to issue a refund via check and offer appropriate service recovery $25-$35 to invite her back for a better experience - If customer requests compensation, DO NOT OFFER REVIEW.  Let her know that we are unable to extend this offer as we cannot definitively say that this product was the cause of her illness.  If pressed, let her know that there have been no other reports of illness from this product.  Assure her, however, that we do take the concerns seriously and will follow up as appropriate.   - Leave detailed notes - Thank you",5654,,Burbank,CA,SBUX,Starbucks,CO,No
3/31/14,Pre-packaged drinks,Unknown,Expired,Customer stated that they purchased two Evolution Fresh Juices but they had expired March 11 and threw them away.,Customer stated that they purchased two Evolution Fresh Juices but they had expired March 11 and threw them away.,,,,,,EVFR,,No
4/1/14,Pre-packaged drinks,OCA,Bloated/Fermented/Spoiled,Customer stated that their Carrot Apple Juice was spoiled.,Customer stated that their Carrot Apple Juice was spoiled.,,,,,,EVFR,,No
4/2/14,Pre-packaged drinks,Cucumber Pineapple Ginger,Bad Taste/Flavor,"Customer said they usually get the Pineapple Cucumber and the Ruby Roots, and the last few have tasted watered down and no flavor.","Customer said they usually get the Pineapple Cucumber and the Ruby Roots, and the last few have tasted watered down and no flavor.",,,,,,EVFR,,No
4/3/14,Pre-packaged drinks,Cucumber Pineapple Ginger,Bad Taste/Flavor,Customer stated that their Cucumber Pineapple Juice tasted very strange.,Customer stated that their Cucumber Pineapple Juice tasted very strange.,,,,,,EVFR,,No
4/7/14,Pre-packaged drinks,Apple Berry,Bad Taste/Flavor,Customer states that they purchased Evolution Fresh Carrot Apple juice and it tasted sour and clotted,Added $10.00 to card 6083893639373966 as service recovery,14770,,Garden City,NY,SBUX,EVFR,CO,No
4/8/14,Pre-packaged drinks,Organic V,Bad Taste/Flavor,Customer organic V tasted stale,Added $5.00 to card 6077400763033210 as service recovery,,,,,,EVFR,,No
4/10/14,Pre-packaged drinks,SGL,Bad Odor,Customer stated that the past two times that she purchased the Sweet Greens juice it has had a bad smell to it.,Customer stated that the past two times that she purchased the Sweet Greens juice it has had a bad smell to it.,,,,,,EVFR,,No
4/11/14,Pre-packaged drinks,Unknown,Expired,Customer emailed they bought a bottle of juice which was past it's best by date.  Customer was disappointed.,"Added $6.00 onto SVC# 6079930334980654 per CIMS case 14284397; MID 99910439994, new balance on card is $42.20.",8680,,Irving,TX,SBUX,Starbucks,CO,No
4/11/14,Pre-packaged drinks,Super Greens Smoothie,Illness/Injury/Allergic Reaction,Customer stated that the super green smooth drink gives him a heart burn.,"Forwarded updated notes to DM, RD, Diversity, Legal, Security as well as CSS Katie and Sandy in Level 2/R&R.",11749,,Miami,FL,SBUX,EVFR,CO,No
4/14/14,Pre-packaged drinks,Mango,Bad Taste/Flavor,Customer stated that his two Mango Evolution Fresh juices tasted sour and bitter.,Customer stated that his two Mango Evolution Fresh juices tasted sour and bitter.,,,,,,EVFR,,No
4/14/14,Pre-packaged drinks,PCW,Bad Taste/Flavor,Customer stated that their PCW tasted old and rancid.,Customer stated that their PCW tasted old and rancid.,7360,,Henrietta,NY,SBUX,EVFR,CO,No
4/15/14,Pre-packaged drinks,Defense Up,Bloated/Fermented/Spoiled,"Customer states they purchased two Defense ups and two turkey  sandwiches. She states that the cheese on the sandwiches had gone bad and when she opened the Defense up, the package started to swell.",Added $25.00 onto SVC#6079281712263704  per CIMS case 14375117 under MID 99910439994,5842,,Paramount,CA,SBUX,Starbucks,CO,No
4/17/14,Pre-packaged drinks,Unknown,Expired,"Customer said love the new pastries, concrened by selling outdated Evolution Fresh Juice, why switch to teavana","Customer said love the new pastries, concrened by selling outdated Evolution Fresh Juice, why switch to teavana",,,,,,Starbucks,,No
4/17/14,Pre-packaged drinks,OCA,Illness/Injury/Allergic Reaction,"Customer brought home a bottle of Organic Carrot-Apple juice from Starbucks from Starbucks for his wife, says she got violently ill (throwing up) 20 minutes after starting to drink it.","***Called level 3***  I called level 3 and spoke with Danny about the case. I was advised we cannot substantiate the claim as it was outside the store. I was advised to apologize and say since it happened outside the store we cannot substantiate it was the juice and cannot advise they seek medical care but please do what they feel is necessary. Offer to send call tag to send the item for Quality Assurance for review, but do not offer follow up about the outcome as we will not be notified of that and to offer service recovery. I was advised not to offer any sort of review.",6673,,Rancho Cucamonga,CA,SBUX,EVFR,CO,No
4/18/14,Pre-packaged drinks,Essential Greens,Bad Taste/Flavor,"Customer wrote in, states their Essential Greens with Lime Juice was ""very, very sour"" to the point it was undrinkable, customer states they are upset to pay $4 for a drink they ""[thought] would be tasty"".",Credited SVC # 6088356850558377 with $10.00 per Case #  14383485 with Merchant ID 99910439994,,,,,,EVFR,,No
4/19/14,Pre-packaged drinks,Essential Vegetable,Expired,Customer states they purchased an Essential vegatables juice and it was expired by several weeks.,Customer states they purchased an Essential vegatables juice and it was expired by several weeks.,,,,,,EVFR,,No
4/19/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer states they purchased a Organic Carrot Apple juice and it has gone sour. She states the expiration date was 4/30/14 and she purchased it in a starbucks location.,Customer states they purchased a Organic Carrot Apple juice and it has gone sour. She states the expiration date was 4/30/14 and she purchased it in a starbucks location.,,,,,,Starbucks,,No
4/22/14,Pre-packaged drinks,Apple Berry,Bloated/Fermented/Spoiled,Customer called and stated that his Apple Juice bottle was bubbled/swollen in appearance.,Added $5.00 to card 6095280971432205 as service recovery,,,,,,Starbucks,,No
4/22/14,Pre-packaged drinks,Super Greens Smoothie,Bad Taste/Flavor,Customer stated he purchased 10 super green juices that taste metalic,Customer stated he purchased 10 super green juices that taste metalic,,,,,,EVFR,,No
4/25/14,Pre-packaged drinks,Unknown,Expired,Customer states that there were large pieces of a tree like stem in their green juices and another had expired before they purchased it. They purchased a total of 8 juices.,Customer states that there were large pieces of a tree like stem in their green juices and another had expired before they purchased it. They purchased a total of 8 juices.,10926,,Suffolk,VA,SBUX,EVFR,CO,No
4/25/14,Pre-packaged drinks,Super Greens Smoothie,Bloated/Fermented/Spoiled,Supervisor called to inform Starbucks that a few bottles of Evolution fresh Super Green Tea is spoiled and very bad.,"Flow Name: Store Experience Calling About: Food, Beverage or Packaged Product Caller: Partner Position: Shift Supervisor Partner Name: Nick Lovell Partner Number: 1150710 Packaged Coffee Or Tea: Yes Description: Evolution Fresh Super Green Best Taste By Date: 4/30/2014 Lot Code: evl159935 Describe what was wrong with the product: possibly spoilled, bottle was puffy round, juice shot from the top when opened. Did the product contain a foreign object?: No Does the experience involve alleged product tampering?: No Did the experience result in an illness, injury, or allergic reaction?: No Is the customer expecting follow up?: No Date of Event: 4/25/2014 Time Of Event: 4:30 pm Store Number: 466 Is this a reoccurring issue?: No Has the customer requested DM follow up?: No Reason no customer is selected: Shift supervisor calling to inform us of a bad product. Synopsis: Supervisor called to inform Starbucks that a few bottles of Evolution fresh Super Green Tea is spoilled and very bad. Notes: Evolution Super Green. Bottles were very puffy. The product shot out of the top like a shook up soda can. Possible contamination.",466,,Portland,OR,SBUX,Starbucks,CO,No
